Trial,Time,Distance (feet and inches),Distance (meters)
1,1.14,18.375,5.6007
2,1.12,14.58333333,4.445
3,1.12,16,4.8768
4,0.97,13.54166667,4.1275
5,1.16,16.625,5.0673
6,1.22,18.54166667,5.6515
7,1.09,17.16666667,5.2324
8,1.12,18,5.4864
9,1.18,16.45833333,5.0165
10,1.14,13.75,4.191
11,1.09,13.375,4.0767
12,1.15,13.66666667,4.1656
13,1.18,15.5,4.7244
14,1.13,19,5.7912
15,1.13,17.33333333,5.2832
16,1.26,18.25,5.5626
17,1.13,13.16666667,4.0132
18,1.21,18.58333333,5.6642
19,1.22,19.08333333,5.8166
20,1.17,16.83333333,5.1308
21,1.11,16.5,5.0292
22,1.19,15.83333333,4.826
23,1.11,14.04166667,4.2799
24,1.17,15.75,4.8006
25,1.31,16.20833333,4.9403
26,1.21,18.08333333,5.5118
27,1.19,17.95833333,5.4737
28,1.13,17.58333333,5.3594
29,1.29,18.5,5.6388
30,1.2,18.41666667,5.6134